"county" "intemp" "inhi" "inlo" "ccap"
"Ector" 14.01 3.86 10.3 1
"Edwards" 13 3.54 9.69 9
"Edwards" 15 3.54 9.69 25
"Edwards" 17 3.54 9.69 30
"Edwards" 19 3.54 9.69 20
"Edwards" 21 3.54 9.69 3
"El Paso" 9 3.4 6.84 1
"El Paso" 11 3.4 6.84 4
"El Paso" 13 3.4 6.84 6
"El Paso" 15 3.4 6.84 5
"El Paso" 17 3.4 6.84 1
"Fayette" 19 3.82 9.67 1
"Foard" 13 4.27 10.79 1
"Freestone" 17 3.83 10.26 1
"Gillespie" 13 3.7 10.53 4
"Gillespie" 15 3.7 10.53 9
"Gillespie" 17 3.7 10.53 11
"Gillespie" 19 3.7 10.53 7
"Gillespie" 21 3.7 10.53 1
"Mills" 13 3.94 10.36 2
"Mills" 15 3.94 10.36 2
"Mills" 17 3.94 10.36 2
"Mills" 19 3.94 10.36 1
"Mitchell" 13 4.15 10.77 1
"Mitchell" 15 4.15 10.77 1
"Montague" 13 4.32 11.35 1
"Morris" 15 4.12 10.23 1
"Nacogdoches" 15 3.94 9.56 1
"Nacogdoches" 17 3.94 9.56 2
"Nacogdoches" 19 3.94 9.56 1
"Navarro" 16 3.95 10.45 1
"Nolan" 11 4.25 10.89 2
"Nolan" 13 4.25 10.89 4
"Nolan" 15 4.25 10.89 5
"Nolan" 17 4.25 10.89 3
"Palo Pinto" 11 4.04 10.95 1
"Palo Pinto" 13 4.04 10.95 1
"Palo Pinto" 15 4.04 10.95 1
"Palo Pinto" 17 4.04 10.95 1
"Panola" 15 3.97 9.21 1
"Panola" 17 3.97 9.21 1
"Hays" 13 3.76 9.99 10
"Hays" 15 3.76 9.99 65
"Hays" 17 3.76 9.99 95
"Hays" 19 3.76 9.99 79
"Hays" 21 3.76 9.99 29
"Hidalgo" 21.37 3.01 8.06 1
"Hill" 13 3.94 10.64 2
"Hill" 15 3.94 10.64 2
"Hill" 17 3.94 10.64 2
"Hill" 19 3.94 10.64 1
"Llano" 13 3.75 10.1 3
"Llano" 15 3.75 10.1 7
"Llano" 17 3.75 10.1 8
"Llano" 19 3.75 10.1 6
"Llano" 21 3.75 10.1 1
"Lubbock" 9 4.35 10.96 1
"Lubbock" 11 4.35 10.96 1
"Lubbock" 13 4.35 10.96 1
"Lubbock" 15 4.35 10.96 1
"Mason" 13 3.73 10 3
"Mason" 15 3.73 10 5
"Mason" 17 3.73 10 6
"Mason" 19 3.73 10 4
"Medina" 15 3.52 9.53 7
"Medina" 17 3.52 9.53 12
"Medina" 19 3.52 9.53 12
"Medina" 21 3.52 9.53 7
"Menard" 13 3.91 10.28 2
"Menard" 15 3.91 10.28 4
"Menard" 17 3.91 10.28 4
"Menard" 19 3.91 10.28 2
"Sutton" 13 3.78 10.06 5
"Sutton" 15 3.78 10.06 9
"Sutton" 17 3.78 10.06 9
"Sutton" 19 3.78 10.06 4
"Terrell" 13 3.51 9.41 4
"Terrell" 15 3.51 9.41 8
"Terrell" 17 3.51 9.41 7
"Terrell" 19 3.51 9.41 4
"Tom Green" 13 4.01 10.33 1
"Tom Green" 15 4.01 10.33 2
"Tom Green" 17 4.01 10.33 2
"Tom Green" 19 4.01 10.33 1
"Travis" 13 3.53 9.64 8
"Travis" 15 3.53 9.64 64
"Travis" 17 3.53 9.64 96
"Travis" 19 3.53 9.64 83
"Travis" 21 3.53 9.64 33
"Trinity" 17 3.8 9.73 1
"Upton" 15 3.78 10.39 1
"Uvalde" 13 3.47 9.32 1
"Uvalde" 15 3.47 9.32 16
"Uvalde" 17 3.47 9.32 26
"Uvalde" 19 3.47 9.32 23
