"county" "id" "xloc" "yloc" "cvtot" "wdist"
"Ector" 0 395.202059057571 669.002328897033 1 24.5449825186247
"Edwards" 1 612.204848735948 458.974954605426 289 40.587247009356
"El Paso" 2 40.4366894444887 658.541788119868 56 29.2225259478044
"Fayette" 3 937.353786783583 447.247623454933 3 26.0730997428651
"Foard" 4 662.939819853278 901.55852729692 4 24.3183773249526
"Freestone" 5 1012.53500156815 650.235609945453 3 25.0964966187867
"Gillespie" 6 744.109445345436 495.657065227955 105 28.9221488243474
"Mills" 7 777.704428612272 625.984911388608 22 23.552692553602
"Mitchell" 8 551.14697024398 716.187990559515 5 25.3819487203711
"Montague" 9 861.026487298073 866.915886452045 3 26.5574055716036
"Morris" 10 1148.92637705037 805.905246903899 4 16.5302695624237
"Nacogdoches" 11 1158.8002407765 641.709496950464 13 28.4304821126558
"Navarro" 12 980.247872932763 689.358211084677 1 28.3324157192826
"Nolan" 13 600.90879432025 717.065729008447 47 26.2195448281128
"Palo Pinto" 14 805.050570935042 767.607706429733 14 27.0611441390278
"Panola" 15 1189.40840530389 701.89016200746 5 24.6104948132992
"Hays" 16 830.746644965678 469.952538196473 925 23.431521571407
"Hidalgo" 17 817.805979949463 60.2919583583321 1 34.4366285378114
"Hill" 18 919.261858727869 681.569636644528 23 27.4806946877232
"Llano" 19 768.878309564887 540.329284296562 83 25.6607936231004
"Lubbock" 20 465.917387250034 862.13951630941 13 25.4711285939969
"Mason" 21 716.144898762648 538.75345087543 60 25.7459781061069
"Medina" 22 728.027593481284 389.401531562364 125 30.5369930055291
"Menard" 23 657.388309422454 559.69980156107 41 26.2629429444684
"Sutton" 24 590.457150465981 516.171047373657 89 32.7412132813759
"Terrell" 25 443.226786209671 486.068678098691 77 42.5183702468424
"Tom Green" 26 597.183145308646 615.116221039807 19 38.1601745488108
"Travis" 27 856.531554122942 496.377357696521 946 29.1478824606595
"Trinity" 28 1110.98947667646 580.210351257591 2 22.32043358457
"Upton" 29 444.728882037628 612.832390717779 4 29.497302828238
"Uvalde" 30 664.128958163978 389.219016927162 254 32.9656787819366
